ID;Date d'acquisition;Nombre de fois exposé;Domaine;nomImage;Titre principal;Prénom NOM
1;1994;13;Oeuvre en 3 dimensions;3C00404.JPG;Adjustable Wall Bra;Vito ACCONCI
2;1984;22;Dessin;3C00403.JPG;Spring with Apple Blossom;Roger ACKLING
3;1994;10;Photographie;3L02927.JPG;The Solar Anus;Dennis ADAMS
4;1983;8;Peinture;;Pyramide bleue en marge des marées;Arthur AESCHBACHER
5;2009;5;Nouveaux médias;5D29595.JPG;Ruins of Private Property;Vahram AGHASYAN
6;2008;0;Peinture;3C00400.JPG;Speed Shadow;Olivier AGID
7;1984;13;Peinture;1A25162.JPG;Grille n°2;Gilles AILLAUD
8;1984;18;Dessin;3C00402.JPG;Marée basse;Gilles AILLAUD
9;1984;18;Dessin;3C00401.JPG;Marée basse-rochers;Gilles AILLAUD
10;1984;18;Dessin;3L03411.JPG;Marée basse-rochers;Gilles AILLAUD
11;1982;5;Dessin;3L03462.JPG;Vicenza I;Jean-Max ALBERT
12;1982;5;Dessin;1A25166.JPG;Vicenza II;Jean-Max ALBERT
13;1982;5;Dessin;;Blue Monk;Jean-Max ALBERT
14;2010;1;Peinture;;Blanc;Manuel ALVESS
15;2012;1;Reproduction photomécanique;;CaSO4-2H2O;Yuna AMAND
16;2012;1;Reproduction photomécanique;;CaSO4-2H2O;Yuna AMAND
17;2012;1;Reproduction photomécanique;3D02076.JPG;CaSO4-2H2O;Yuna AMAND
18;2006;1;Publication, livre, reliure;3D02077.JPG;Périodique ccV TRE;Anonyme (fluxus)
19;2006;1;Publication, livre, reliure;3D01971.JPG;Périodique ccV TRE;Anonyme (fluxus)
20;2006;0;Publication, livre, reliure;3D02079.JPG;Livre Happening & Fluxus;Anonyme (fluxus)
21;2006;0;Publication, livre, reliure;3D01975.JPG;Périodique ccV TRE;Anonyme (fluxus)
22;2006;0;Reproduction photomécanique;3D01976.JPG;Fluxshoe;Anonyme (fluxus)
23;2006;0;Design graphique;3D02084.JPG;Affiche Fluxshoe;Anonyme (fluxus)
24;2006;0;Publication, livre, reliure;3D01984.JPG;ADA;Anonyme (fluxus)
25;2006;1;Publication, livre, reliure;3D01974.JPG;Périodique General Schmuck;Anonyme (fluxus)
26;2006;0;Publication, livre, reliure;3D01990.JPG;Périodique HOW WE MET or a microdemystification;Anonyme (fluxus)
